"StartTime","EndTime","EpisodeId","EventId","State","EventType","InjuriesDirect","InjuriesIndirect","DeathsDirect","DeathsIndirect","DamageProperty","DamageCrops","Source","BeginLocation","EndLocation","BeginLat","BeginLon","EndLat","EndLon","EpisodeNarrative","EventNarrative","StormSummary"
"2007-12-23 06:02:00.0000000","2007-12-23 06:07:00.0000000","11781","64726","OHIO","Thunderstorm Wind","0","0","0","0","2000","0","Law Enforcement","COLDWATER","MARIA STEIN","40.4","-84.62","40.4","-84.48","A line of low topped convection moved across west central Ohio ahead of a powerful cold front.  Strong winds associated with the line produced scattered wind damage.","One power pole and two trees were knocked down along Fairground Road and State Route 119.","{""TotalDamages"":2000,""StartTime"":""2007-12-23T06:02:00.0000000Z"",""EndTime"":""2007-12-23T06:07:00.0000000Z"",""Details"":{""Description"":""One power pole and two trees were knocked down along Fairground Road and State Route 119."",""Location"":""OHIO""}}"
"2007-12-23 06:38:00.0000000","2007-12-23 06:43:00.0000000","11781","64727","OHIO","Thunderstorm Wind","0","0","0","0","2000","0","Law Enforcement","WAPAKONETA","WAPAKONETA","40.6109","-84.2539","40.5495","-84.1731","A line of low topped convection moved across west central Ohio ahead of a powerful cold front.  Strong winds associated with the line produced scattered wind damage.","One tree was downed near the intersection of Kelly and Buckland River Roads.  A power pole was knocked down just southeast of Wapakoneta.","{""TotalDamages"":2000,""StartTime"":""2007-12-23T06:38:00.0000000Z"",""EndTime"":""2007-12-23T06:43:00.0000000Z"",""Details"":{""Description"":""One tree was downed near the intersection of Kelly and Buckland River Roads.  A power pole was knocked down just southeast of Wapakoneta."",""Location"":""OHIO""}}"
"2007-12-23 06:36:00.0000000","2007-12-23 06:41:00.0000000","11781","64728","OHIO","Thunderstorm Wind","0","0","0","0","2000","0","Law Enforcement","LOCKINGTON","LOCKINGTON","40.2512","-84.297","40.2512","-84.297","A line of low topped convection moved across west central Ohio ahead of a powerful cold front.  Strong winds associated with the line produced scattered wind damage.","Several large tree limbs were downed in the 8000 block of Houston Road.","{""TotalDamages"":2000,""StartTime"":""2007-12-23T06:36:00.0000000Z"",""EndTime"":""2007-12-23T06:41:00.0000000Z"",""Details"":{""Description"":""Several large tree limbs were downed in the 8000 block of Houston Road."",""Location"":""OHIO""}}"
"2007-12-23 07:14:00.0000000","2007-12-23 07:19:00.0000000","11781","64729","OHIO","Thunderstorm Wind","0","0","0","0","3000","0","Law Enforcement","DE GRAFF","DE GRAFF","40.32","-83.92","40.32","-83.92","A line of low topped convection moved across west central Ohio ahead of a powerful cold front.  Strong winds associated with the line produced scattered wind damage.","Multiple trees and power poles were knocked down in town.","{""TotalDamages"":3000,""StartTime"":""2007-12-23T07:14:00.0000000Z"",""EndTime"":""2007-12-23T07:19:00.0000000Z"",""Details"":{""Description"":""Multiple trees and power poles were knocked down in town."",""Location"":""OHIO""}}"
"2007-12-11 21:45:00.0000000","2007-12-12 16:45:00.0000000","12826","70787","KANSAS","Flood","0","0","0","0","0","0","COOP Observer","EASTON","EASTON","39.3577","-95.1052","39.3562","-95.1109","Minor flooding was observed on Stranger Creek, December 11 through December 12, 2007. The combination of rain with snow melt caused the flooding.","The Stranger Creek near Easton crested at 18.65 feet, or 1.65 feet above flood stage.","{""TotalDamages"":0,""StartTime"":""2007-12-11T21:45:00.0000000Z"",""EndTime"":""2007-12-12T16:45:00.0000000Z"",""Details"":{""Description"":""The Stranger Creek near Easton crested at 18.65 feet, or 1.65 feet above flood stage."",""Location"":""KANSAS""}}"
"2007-12-28 02:47:00.0000000","2007-12-28 03:05:00.0000000","12561","68867","MISSISSIPPI","Hail","0","0","0","0","0","0","Law Enforcement","HOMEWOOD","STEEL","32.2308","-89.5557","32.4281","-89.4102","A complex storm system took shape at the end of December and brought a round of elevated hail storms to the region. The hail storms occurred as a warm front and deeper moisture surged northward during the early morning hours, generally between 1 and 6 am and were scattered about the forecast area. The hail stones ranged between penny and quarter size and caused little to no damage.","A swath of penny to quarter sized hail fell from just west of Homewood to just northeast of Forest. This was the same hail storm which moved across Simpson and Smith Counties.","{""TotalDamages"":0,""StartTime"":""2007-12-28T02:47:00.0000000Z"",""EndTime"":""2007-12-28T03:05:00.0000000Z"",""Details"":{""Description"":""A swath of penny to quarter sized hail fell from just west of Homewood to just northeast of Forest. This was the same hail storm which moved across Simpson and Smith Counties."",""Location"":""MISSISSIPPI""}}"
"2007-12-28 03:05:00.0000000","2007-12-28 03:16:00.0000000","12561","68868","MISSISSIPPI","Hail","0","0","0","0","0","0","Law Enforcement","COLUMBIA","COLUMBIA MARION ARPT","31.26","-89.85","31.3789","-89.7205","A complex storm system took shape at the end of December and brought a round of elevated hail storms to the region. The hail storms occurred as a warm front and deeper moisture surged northward during the early morning hours, generally between 1 and 6 am and were scattered about the forecast area. The hail stones ranged between penny and quarter size and caused little to no damage.","A swath of penny to quarter size hail fell across a portion of Marion County.","{""TotalDamages"":0,""StartTime"":""2007-12-28T03:05:00.0000000Z"",""EndTime"":""2007-12-28T03:16:00.0000000Z"",""Details"":{""Description"":""A swath of penny to quarter size hail fell across a portion of Marion County."",""Location"":""MISSISSIPPI""}}"
"2007-12-10 13:10:00.0000000","2007-12-13 02:30:00.0000000","12068","65995","KENTUCKY","Flood","0","0","0","0","0","0","Official NWS Observations","DUNDEE","NARROWS","37.55","-86.78","37.563","-86.756","A stationary front over the lower Ohio Valley continued to act as the focus for heavy rains. It produced area flooding over parts of south central Kentucky on December 10, and some river flooding over a wider area of central Kentucky over the next week.","The Rough River at Dundee crested at 27.1 feet around 1530EST on December 11. Flood stage at Dundee is 25 feet. Minor flooding occurs at this level, with a section of Kentucky 69 on the right bank covered with water. Agricultural bottom land on the right bank is covered, and the left bank about a mile downstream from the gage begins to flood.","{""TotalDamages"":0,""StartTime"":""2007-12-10T13:10:00.0000000Z"",""EndTime"":""2007-12-13T02:30:00.0000000Z"",""Details"":{""Description"":""The Rough River at Dundee crested at 27.1 feet around 1530EST on December 11. Flood stage at Dundee is 25 feet. Minor flooding occurs at this level, with a section of Kentucky 69 on the right bank covered with water. Agricultural bottom land on the right bank is covered, and the left bank about a mile downstream from the gage begins to flood."",""Location"":""KENTUCKY""}}"
"2007-12-15 13:00:00.0000000","2007-12-15 15:00:00.0000000","11895","65282","KENTUCKY","Flood","0","0","0","0","0","0","Trained Spotter","ELKTON","ELKTON","36.82","-87.15","36.8193","-87.1557","Persistent widespread moderate rain produced one to three inches over a ten-hour period. This rainfall occurred over ground that was very moist due to rainfall earlier in the month. Since the ground was unable to absorb much water, the rainfall either pooled in low-lying areas or ran off quickly into streams and creeks. The rain occurred ahead of a warm front that extended northeast from low pressure over Louisiana.","The north fork of the Elk Creek River was out of its banks.","{""TotalDamages"":0,""StartTime"":""2007-12-15T13:00:00.0000000Z"",""EndTime"":""2007-12-15T15:00:00.0000000Z"",""Details"":{""Description"":""The north fork of the Elk Creek River was out of its banks."",""Location"":""KENTUCKY""}}"
"2007-12-15 12:00:00.0000000","2007-12-15 18:00:00.0000000","11895","65283","KENTUCKY","Flood","0","0","0","0","0","0","Emergency Manager","HOPKINSVILLE ARPT","CASKY","36.8736","-87.4134","36.8346","-87.4114","Persistent widespread moderate rain produced one to three inches over a ten-hour period. This rainfall occurred over ground that was very moist due to rainfall earlier in the month. Since the ground was unable to absorb much water, the rainfall either pooled in low-lying areas or ran off quickly into streams and creeks. The rain occurred ahead of a warm front that extended northeast from low pressure over Louisiana.","Flooding was reported on a secondary road near U.S. Highway 68.","{""TotalDamages"":0,""StartTime"":""2007-12-15T12:00:00.0000000Z"",""EndTime"":""2007-12-15T18:00:00.0000000Z"",""Details"":{""Description"":""Flooding was reported on a secondary road near U.S. Highway 68."",""Location"":""KENTUCKY""}}"
"2007-12-28 03:30:00.0000000","2007-12-28 03:31:00.0000000","12561","68871","MISSISSIPPI","Hail","0","0","0","0","0","0","Public","HOUSE","HOUSE","32.68","-89.03","32.68","-89.03","A complex storm system took shape at the end of December and brought a round of elevated hail storms to the region. The hail storms occurred as a warm front and deeper moisture surged northward during the early morning hours, generally between 1 and 6 am and were scattered about the forecast area. The hail stones ranged between penny and quarter size and caused little to no damage.","","{""TotalDamages"":0,""StartTime"":""2007-12-28T03:30:00.0000000Z"",""EndTime"":""2007-12-28T03:31:00.0000000Z"",""Details"":{""Description"":"""",""Location"":""MISSISSIPPI""}}"
"2007-12-16 02:30:00.0000000","2007-12-16 02:35:00.0000000","11747","64586","FLORIDA","Thunderstorm Wind","0","0","0","0","5000","0","Public","PHIFER","PHIFER","29.68","-82.45","29.68","-82.45","A pre-frontal band of convection moved across Northeast Florida during the early morning hours of December 16th before sunrise. There was about a week of near record high temperatures across the area in advance of this storm system, allowing for many days of pre-frontal instability to develop across the area.  There was also a strong 850 mb southwest jet around 55 knots which advected low level moisture and instability inland from the Gulf of Mexico overnight in advanced of the surface front.","Trees were down across the Meadowbrook Golf Course. The cost of tree removal was estimated.","{""TotalDamages"":5000,""StartTime"":""2007-12-16T02:30:00.0000000Z"",""EndTime"":""2007-12-16T02:35:00.0000000Z"",""Details"":{""Description"":""Trees were down across the Meadowbrook Golf Course. The cost of tree removal was estimated."",""Location"":""FLORIDA""}}"
"2007-12-16 04:45:00.0000000","2007-12-16 04:50:00.0000000","11747","64587","FLORIDA","Thunderstorm Wind","0","0","0","0","0","0","Law Enforcement","MONTAGUE","MONTAGUE","29.15","-82.09","29.15","-82.09","A pre-frontal band of convection moved across Northeast Florida during the early morning hours of December 16th before sunrise. There was about a week of near record high temperatures across the area in advance of this storm system, allowing for many days of pre-frontal instability to develop across the area.  There was also a strong 850 mb southwest jet around 55 knots which advected low level moisture and instability inland from the Gulf of Mexico overnight in advanced of the surface front.","Trees were blown down across power lines.","{""TotalDamages"":0,""StartTime"":""2007-12-16T04:45:00.0000000Z"",""EndTime"":""2007-12-16T04:50:00.0000000Z"",""Details"":{""Description"":""Trees were blown down across power lines."",""Location"":""FLORIDA""}}"
"2007-12-23 05:00:00.0000000","2007-12-23 05:00:00.0000000","12947","71552","MICHIGAN","Thunderstorm Wind","0","0","0","0","40000","0","Trained Spotter","PAW PAW","PAW PAW","42.2","-85.85","42.2","-85.85","A narrow line of rain with embedded thunderstorms just ahead of an arctic cold front produced high wind gusts ranging from 50 to 78 mph.  This resulted in widespread power outages and reports of wind damage across central and southern lower Michigan.","A square yard of shingles was blown off a roof of an eight year old home. Downed trees and limbs were blocking county road 653.","{""TotalDamages"":40000,""StartTime"":""2007-12-23T05:00:00.0000000Z"",""EndTime"":""2007-12-23T05:00:00.0000000Z"",""Details"":{""Description"":""A square yard of shingles was blown off a roof of an eight year old home. Downed trees and limbs were blocking county road 653."",""Location"":""MICHIGAN""}}"
"2007-12-15 18:00:00.0000000","2007-12-15 19:00:00.0000000","12580","68989","ALABAMA","Heavy Rain","0","0","0","0","0","0","Emergency Manager","DOTHAN","DOTHAN","31.23","-85.37","31.23","-85.37","Strong thunderstorms produced periods of heavy rain that caused localized flooding in portions of Dale, Geneva and Houston counties during the late afternoon and early evening of December 15.","Heavy rain caused localized flooding of several streets and intersections in Dothan.","{""TotalDamages"":0,""StartTime"":""2007-12-15T18:00:00.0000000Z"",""EndTime"":""2007-12-15T19:00:00.0000000Z"",""Details"":{""Description"":""Heavy rain caused localized flooding of several streets and intersections in Dothan."",""Location"":""ALABAMA""}}"
"2007-12-01 00:00:00.0000000","2007-12-01 01:00:00.0000000","12558","68826","CALIFORNIA","Flash Flood","0","0","0","0","0","0","County Official","PALOMAR MTN","RINCON","33.334","-116.9205","33.28","-116.96","Heavy rain over the Poomacha burn area on the south slope of Palomar Mountain triggered a significant debris flow shortly before midnight on November 30. The debris flow continued into the early morning hours of December 1. Mud, water, and debris rushed down Amago Creek and caused serious damage to several vehicles, a house, and portions of highway 76. The force of the debris flow was strong enough to wash away a series of K-rails that had recently been installed to protect a home in case of such an event. Two-inch diameter pins used to secure the K-rails were sheered off at the ground and the house was buried in mud. The wall of water that rushed down Amago Creek was estimated to be 15 feet high and 150 to 200 feet wide. In addition to mud and rocks, the flash flood also carried with it large trees that had burned just one month earlier during the Poomacha Fire. The District 11 Mountain Area Superintendent of the DOT witnessed the event and said all of Highway 76 from Valley Center Road to South Grade Road was impacted by several flash floods and debris flows. His vehicle was damaged by the flash flood at Amago Creek when it was struck by a tree and other debris. Please note that damage estimates are not included for this event as they have already been accounted for in the orignal November storm data entry.","","{""TotalDamages"":0,""StartTime"":""2007-12-01T00:00:00.0000000Z"",""EndTime"":""2007-12-01T01:00:00.0000000Z"",""Details"":{""Description"":"""",""Location"":""CALIFORNIA""}}"
"2007-12-20 22:23:00.0000000","2007-12-20 22:23:00.0000000","13011","72026","CALIFORNIA","Thunderstorm Wind","0","0","0","0","15000","0","NWS Storm Survey","NESTOR","NESTOR","32.5709","-117.0605","32.5709","-117.0581","A small microburst damaged six homes on Agosto Street and Marzo Street in Otay Mesa. The microburst blew over trees and fences, dislodged roof tiles, damaged a door, and destroyed a shed. This event was not associated with any thunderstorm.","","{""TotalDamages"":15000,""StartTime"":""2007-12-20T22:23:00.0000000Z"",""EndTime"":""2007-12-20T22:23:00.0000000Z"",""Details"":{""Description"":"""",""Location"":""CALIFORNIA""}}"
"2007-12-01 05:30:00.0000000","2007-12-01 05:30:00.0000000","13031","72052","NEW MEXICO","Thunderstorm Wind","0","0","0","0","0","0","Mesonet","HOCKETT","HOCKETT","32.4982","-107.1359","32.4982","-107.1359","A line of strong thunderstorms moved eastward across southern New Mexico during the predawn hours. At least one of the storms was severe.","","{""TotalDamages"":0,""StartTime"":""2007-12-01T05:30:00.0000000Z"",""EndTime"":""2007-12-01T05:30:00.0000000Z"",""Details"":{""Description"":"""",""Location"":""NEW MEXICO""}}"
"2007-12-28 01:53:00.0000000","2007-12-28 02:00:00.0000000","12561","68855","MISSISSIPPI","Hail","0","0","0","0","0","0","Law Enforcement","EMBRY","BELLEFONTAINE","33.6789","-89.3765","33.7215","-89.3456","A complex storm system took shape at the end of December and brought a round of elevated hail storms to the region. The hail storms occurred as a warm front and deeper moisture surged northward during the early morning hours, generally between 1 and 6 am and were scattered about the forecast area. The hail stones ranged between penny and quarter size and caused little to no damage.","A swath of penny to quarter size hail fell across a small portion of north-central Webster county.","{""TotalDamages"":0,""StartTime"":""2007-12-28T01:53:00.0000000Z"",""EndTime"":""2007-12-28T02:00:00.0000000Z"",""Details"":{""Description"":""A swath of penny to quarter size hail fell across a small portion of north-central Webster county."",""Location"":""MISSISSIPPI""}}"
"2007-12-28 02:38:00.0000000","2007-12-28 02:49:00.0000000","12561","68860","MISSISSIPPI","Hail","0","0","0","0","0","0","Public","GUNN","LINGLE","32.0657","-89.7178","32.2175","-89.5523","A complex storm system took shape at the end of December and brought a round of elevated hail storms to the region. The hail storms occurred as a warm front and deeper moisture surged northward during the early morning hours, generally between 1 and 6 am and were scattered about the forecast area. The hail stones ranged between penny and quarter size and caused little to no damage.","A swath of dime to penny hail fell across the northwest portion of Smith County. This hail storm moved out of Simpson County, tracked across northwest Smith County, and continued into southern Scott County.","{""TotalDamages"":0,""StartTime"":""2007-12-28T02:38:00.0000000Z"",""EndTime"":""2007-12-28T02:49:00.0000000Z"",""Details"":{""Description"":""A swath of dime to penny hail fell across the northwest portion of Smith County. This hail storm moved out of Simpson County, tracked across northwest Smith County, and continued into southern Scott County."",""Location"":""MISSISSIPPI""}}"
"2007-12-15 13:00:00.0000000","2007-12-15 16:00:00.0000000","12692","69738","KENTUCKY","Flood","0","0","0","0","30000","0","Newspaper","HIGHLANDS","HIGHLANDS","38.2465","-85.6883","38.2466","-85.7019","A warm front over the Deep South, along with an upper level low crossing the lower Ohio Valley, produced heavy rains over central Kentucky. The ground had been saturated by rains over the previous days, so area flooding resulted over many areas.","Two water rescues were performed in and near Cherokee Park in the Louisville Metropolitan area. One person was rescued from a car in the Dog Hill area of the park. A second vehicle was trapped in high water near the park, in the vicinity of Alta Vista Road and Maple Road.","{""TotalDamages"":30000,""StartTime"":""2007-12-15T13:00:00.0000000Z"",""EndTime"":""2007-12-15T16:00:00.0000000Z"",""Details"":{""Description"":""Two water rescues were performed in and near Cherokee Park in the Louisville Metropolitan area. One person was rescued from a car in the Dog Hill area of the park. A second vehicle was trapped in high water near the park, in the vicinity of Alta Vista Road and Maple Road."",""Location"":""KENTUCKY""}}"
"2007-12-15 16:30:00.0000000","2007-12-15 19:30:00.0000000","12692","69773","KENTUCKY","Flood","0","0","0","0","0","0","Law Enforcement","WEBERSTOWN","DUKES","37.7669","-86.782","37.8196","-86.6945","A warm front over the Deep South, along with an upper level low crossing the lower Ohio Valley, produced heavy rains over central Kentucky. The ground had been saturated by rains over the previous days, so area flooding resulted over many areas.","A few county roads were closed due to high water.","{""TotalDamages"":0,""StartTime"":""2007-12-15T16:30:00.0000000Z"",""EndTime"":""2007-12-15T19:30:00.0000000Z"",""Details"":{""Description"":""A few county roads were closed due to high water."",""Location"":""KENTUCKY""}}"
